CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,NumberCarsOwned,AddressLine1,Phone,DateFirstPurchase,CustomerType,CompanyName,OwnsHouse
52,599,Daniel,Johnson,1951-08-04,Single,Male,daniel18@adventure-works.com,"30000,00",3,0,Bachillerato,Manual calificado,2,8085 Sunnyvale Avenue,1 (11) 500 555-0155,2004-07-01,Person,No Company Entered,No
53,509,Heidi,Lopez,1951-08-07,Single,Female,heidi19@adventure-works.com,"40000,00",2,0,Grado parcial,Clerical,2,2514 Via Cordona,1 (11) 500 555-0168,2001-08-20,Person,No Company Entered,No
54,688,Ana,Price,1980-08-20,Married,Female,ana0@adventure-works.com,"60000,00",0,0,Grado parcial,Manual calificado,2,1660 Stonyhill Circle,859-555-0113,2003-07-21,Person,No Company Entered,No
55,632,Deanna,Munoz,1952-03-10,Married,Female,deanna33@adventure-works.com,"40000,00",2,0,Grado parcial,Manual calificado,2,5825 B Way,1 (11) 500 555-0192,2001-08-06,Person,No Company Entered,Yes
56,478,Gilbert,Raje,1952-03-05,Married,Male,gilbert35@adventure-works.com,"40000,00",2,0,Grado parcial,Manual calificado,2,8811 The Trees Dr.,1 (11) 500 555-0129,2001-08-03,Person,No Company Entered,Yes
57,518,Michele,Nath,1953-04-03,Married,Female,michele19@adventure-works.com,"40000,00",3,0,Grado parcial,Manual calificado,2,5464 Janin Pl.,1 (11) 500 555-0178,2001-08-29,Person,No Company Entered,Yes
58,646,Carl,Andersen,1953-10-12,Married,Male,carl12@adventure-works.com,"70000,00",2,0,Máster,Administración,2,6930 Lake Nadine Place,1 (11) 500 555-0181,2001-08-25,Person,No Company Entered,Yes
59,628,Marc,Diaz,1954-04-27,Married,Male,marc6@adventure-works.com,"80000,00",2,0,Grado parcial,Manual calificado,2,6645 Sinaloa,1 (11) 500 555-0149,2001-09-09,Person,No Company Entered,Yes
60,561,Ashlee,Andersen,1954-04-01,Single,Female,ashlee19@adventure-works.com,"80000,00",2,0,Grado parcial,Manual calificado,2,8255 Highland Road,1 (11) 500 555-0112,2003-08-22,Person,No Company Entered,Yes
61,568,Jon,Zhou,1954-03-17,Married,Male,jon28@adventure-works.com,"80000,00",2,0,Grado parcial,Manual calificado,2,6574 Hemlock Ave.,1 (11) 500 555-0174,2001-09-19,Person,No Company Entered,Yes
62,487,Todd,Gao,1954-02-27,Married,Male,todd14@adventure-works.com,"80000,00",2,0,Grado parcial,Manual calificado,2,8808 Geneva Ave,1 (11) 500 555-0191,2001-09-13,Person,No Company Entered,Yes
63,536,Noah,Powell,1975-09-02,Married,Male,noah5@adventure-works.com,"40000,00",0,0,Bachillerato,Manual calificado,2,9794 Marion Ct,767-555-0113,2003-07-11,Person,No Company Entered,Yes
64,677,Angela,Murphy,1975-04-07,Single,Female,angela41@adventure-works.com,"40000,00",0,0,Bachillerato,Manual calificado,2,4927 Virgil Street,451-555-0162,2003-07-16,Person,No Company Entered,Yes
65,475,Chase,Reed,1975-12-07,Married,Male,chase21@adventure-works.com,"40000,00",0,0,Bachillerato,Manual calificado,2,2721 Alexander Pl.,892-555-0184,2003-07-29,Person,No Company Entered,Yes
66,643,Jessica,Henderson,1973-10-09,Married,Female,jessica29@adventure-works.com,"60000,00",0,0,Grado parcial,Manual calificado,2,9343 Ironwood Way,278-555-0186,2003-08-14,Person,No Company Entered,No
67,500,Grace,Butler,1973-11-27,Married,Female,grace62@adventure-works.com,"70000,00",0,0,Grado parcial,Profesional,2,4739 Garden Ave.,712-555-0141,2003-12-02,Person,No Company Entered,Yes
68,535,Caleb,Carter,1976-09-25,Single,Male,caleb40@adventure-works.com,"60000,00",0,0,Grado parcial,Profesional,2,9563 Pennsylvania Blvd.,944-555-0167,2004-02-19,Person,No Company Entered,Yes
69,568,Tiffany,Liang,1955-09-23,Single,Female,tiffany17@adventure-works.com,"80000,00",2,0,Bachillerato,Manual calificado,2,3608 Sinclair Avenue,1 (11) 500 555-0177,2003-11-01,Person,No Company Entered,Yes
70,487,Carolyn,Navarro,1955-09-21,Single,Female,carolyn30@adventure-works.com,"80000,00",2,0,Bachillerato,Manual calificado,2,4606 Springwood Court,1 (11) 500 555-0145,2001-10-18,Person,No Company Entered,No
71,699,Willie,Raji,1955-04-05,Married,Male,willie40@adventure-works.com,"80000,00",2,0,Bachillerato,Manual calificado,2,6260 Vernal Drive,1 (11) 500 555-0151,2001-10-29,Person,No Company Entered,Yes
72,637,Linda,Serrano,1955-06-26,Single,Female,linda31@adventure-works.com,"80000,00",2,0,Bachillerato,Manual calificado,2,9808 Shaw Rd.,1 (11) 500 555-0130,2003-09-02,Person,No Company Entered,Yes
73,554,Casey,Luo,1955-02-06,Single,Female,casey6@adventure-works.com,"80000,00",2,0,Bachillerato,Manual calificado,2,9513 Roslyn Drive,1 (11) 500 555-0125,2001-10-01,Person,No Company Entered,No
74,553,Amy,Ye,1956-08-14,Single,Female,amy16@adventure-works.com,"70000,00",2,0,Bachillerato,Manual calificado,2,2262 Kirkwood Ct.,1 (11) 500 555-0185,2003-09-24,Person,No Company Entered,Yes
75,613,Levi,Arun,1956-08-28,Single,Male,levi6@adventure-works.com,"70000,00",2,0,Bachillerato,Manual calificado,2,4661 Bluetail,1 (11) 500 555-0127,2003-09-24,Person,No Company Entered,Yes
76,425,Felicia,Jimenez,1957-11-16,Single,Female,felicia4@adventure-works.com,"80000,00",2,0,Bachillerato,Profesional,2,786 Eastgate Ave,1 (11) 500 555-0165,2001-10-29,Person,No Company Entered,Yes
77,706,Blake,Anderson,1957-07-13,Single,Male,blake9@adventure-works.com,"80000,00",2,0,Bachillerato,Profesional,2,5436 Clear,1 (11) 500 555-0113,2001-10-22,Person,No Company Entered,Yes
78,510,Leah,Ye,1957-09-19,Single,Female,leah7@adventure-works.com,"80000,00",2,0,Bachillerato,Profesional,2,1291 Arguello Blvd.,1 (11) 500 555-0154,2001-10-16,Person,No Company Entered,No
79,467,Gina,Martin,1974-01-10,Single,Female,gina1@adventure-works.com,"40000,00",0,0,Bachillerato,Profesional,2,1349 Sol St.,196-555-0114,2003-08-19,Person,No Company Entered,No
80,632,Donald,Gonzalez,1959-03-11,Single,Male,donald20@adventure-works.com,"160000,00",0,0,Máster,Administración,2,4236 Malibu Place,1 (11) 500 555-0137,2003-09-16,Person,No Company Entered,Yes
81,531,Damien,Chander,1959-07-17,Married,Male,damien32@adventure-works.com,"170000,00",0,0,Máster,Administración,2,9941 Stonehedge Dr.,1 (11) 500 555-0111,2001-10-11,Person,No Company Entered,Yes
82,470,Savannah,Baker,1966-07-24,Married,Female,savannah39@adventure-works.com,"120000,00",2,2,Grado,Administración,3,1210 Trafalgar Circle,478-555-0117,2003-08-16,Person,No Company Entered,Yes
83,631,Angela,Butler,1966-08-04,Single,Female,angela17@adventure-works.com,"130000,00",0,1,Máster,Administración,3,6040 Listing Ct,579-555-0195,2003-07-26,Person,No Company Entered,No
84,505,Alyssa,Cox,1966-03-15,Married,Female,alyssa37@adventure-works.com,"130000,00",0,1,Máster,Administración,3,867 La Orinda Place,561-555-0140,2003-07-10,Person,No Company Entered,Yes
85,500,Lucas,Phillips,1957-09-12,Single,Male,lucas7@adventure-works.com,"80000,00",2,0,Bachillerato parcial,Manual calificado,2,8668 St. Celestine Court,863-555-0172,2003-07-08,Person,No Company Entered,No
86,667,Emily,Johnson,1957-07-19,Single,Female,emily1@adventure-works.com,"60000,00",2,0,Bachillerato,Profesional,2,7926 Stephanie Way,850-555-0184,2004-06-08,Person,No Company Entered,No
87,547,Ryan,Brown,1957-12-23,Married,Male,ryan43@adventure-works.com,"70000,00",2,1,Grado parcial,Profesional,0,2939 Wesley Ct.,539-555-0198,2004-01-03,Person,No Company Entered,Yes
88,610,Tamara,Liang,1957-10-03,Married,Female,tamara6@adventure-works.com,"70000,00",3,2,Grado parcial,Profesional,0,3791 Rossmor Parkway,178-555-0152,2003-08-29,Person,No Company Entered,No
89,688,Hunter,Davis,1957-11-25,Married,Male,hunter64@adventure-works.com,"80000,00",2,1,Grado,Administración,0,4308 Sand Pointe Lane,612-555-0141,2003-07-17,Person,No Company Entered,Yes
90,652,Abigail,Price,1957-02-05,Single,Female,abigail25@adventure-works.com,"80000,00",2,1,Grado,Administración,1,2685 Blackburn Ct,532-555-0117,2003-07-02,Person,No Company Entered,Yes
91,653,Trevor,Bryant,1957-12-17,Single,Male,trevor18@adventure-works.com,"90000,00",2,0,Grado parcial,Profesional,1,5781 Sharon Dr.,853-555-0174,2002-02-07,Person,No Company Entered,Yes
92,490,Dalton,Perez,1957-04-04,Married,Male,dalton37@adventure-works.com,"90000,00",2,0,Grado parcial,Profesional,1,6083 San Jose,559-555-0115,2003-08-02,Person,No Company Entered,Yes
93,478,Cheryl,Diaz,1967-05-06,Married,Female,cheryl4@adventure-works.com,"90000,00",2,2,Grado,Profesional,0,7297 Kaywood Drive,1 (11) 500 555-0192,2001-10-09,Person,No Company Entered,Yes
94,706,Aimee,He,1967-09-10,Married,Female,aimee13@adventure-works.com,"100000,00",0,0,Máster,Administración,0,1833 Olympic Drive,1 (11) 500 555-0161,2001-10-08,Person,No Company Entered,Yes
95,471,Cedric,Ma,1962-04-01,Single,Male,cedric15@adventure-works.com,"70000,00",1,0,Grado parcial,Manual calificado,1,3407 Oak Brook Place,1 (11) 500 555-0115,2003-10-09,Person,No Company Entered,No
96,534,Chad,Kumar,1962-09-01,Single,Male,chad9@adventure-works.com,"70000,00",1,0,Grado parcial,Manual calificado,1,1681 Lighthouse Way,1 (11) 500 555-0151,2001-10-02,Person,No Company Entered,Yes
97,669,Andrés,Anand,1962-08-10,Married,Male,andrés18@adventure-works.com,"60000,00",1,0,Grado,Profesional,1,5423 Los Gatos Ct.,1 (11) 500 555-0184,2001-10-12,Person,No Company Entered,Yes
98,568,Edwin,Nara,1961-10-27,Married,Male,edwin39@adventure-works.com,"60000,00",1,0,Grado parcial,Manual calificado,1,719 William Way,1 (11) 500 555-0112,2001-10-05,Person,No Company Entered,Yes
99,679,Mallory,Rubio,1961-05-01,Single,Female,mallory7@adventure-works.com,"60000,00",1,0,Grado parcial,Manual calificado,1,6452 Harris Circle,1 (11) 500 555-0157,2003-08-15,Person,No Company Entered,No
100,534,Adam,Ross,1961-03-08,Married,Male,adam2@adventure-works.com,"60000,00",1,0,Grado,Profesional,1,4378 Westminster Place,1 (11) 500 555-0186,2001-10-08,Person,No Company Entered,Yes
101,613,Latasha,Navarro,1960-09-15,Single,Female,latasha10@adventure-works.com,"60000,00",1,0,Grado parcial,Manual calificado,1,6954 Ranch Road,1 (11) 500 555-0123,2001-10-17,Person,No Company Entered,Yes
102,471,Abby,Sai,1965-05-08,Single,Female,abby4@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,7074 N. Spoonwood Court,1 (11) 500 555-0174,2001-10-30,Person,No Company Entered,No
103,558,Julia,Nelson,1965-04-21,Single,Female,julia7@adventure-works.com,"80000,00",5,5,Grado,Profesional,4,2196 Coat Ct.,1 (11) 500 555-0124,2004-01-17,Person,No Company Entered,Yes
104,473,Cassie,Chande,1964-10-17,Single,Female,cassie13@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,9448 San Marino Ct.,1 (11) 500 555-0166,2001-10-16,Person,No Company Entered,Yes
105,487,Edgar,Sara,1964-03-11,Married,Male,edgar11@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,6127 Lilly Lane,1 (11) 500 555-0125,2001-11-04,Person,No Company Entered,No
106,509,Candace,Fernandez,1964-12-28,Single,Female,candace15@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,5029 Blue Ridge,1 (11) 500 555-0162,2001-11-14,Person,No Company Entered,No
107,568,Jessie,Liu,1964-09-11,Single,Male,jessie9@adventure-works.com,"70000,00",0,0,Grado,Profesional,1,3063 Blue Jay Drive,1 (11) 500 555-0163,2001-11-18,Person,No Company Entered,No
108,554,Bianca,Lin,1959-09-09,Married,Female,bianca7@adventure-works.com,"90000,00",1,0,Grado,Profesional,1,7530 Eola,1 (11) 500 555-0121,2001-11-01,Person,No Company Entered,Yes
109,534,Kari,Alvarez,1963-07-14,Single,Female,kari25@adventure-works.com,"70000,00",0,0,Grado,Profesional,2,9178 Thornhill Place,1 (11) 500 555-0169,2001-11-03,Person,No Company Entered,No
110,697,Ruben,Kapoor,1963-11-05,Single,Male,ruben1@adventure-works.com,"70000,00",0,0,Grado,Profesional,2,1984 Glendale Circle,1 (11) 500 555-0132,2001-11-10,Person,No Company Entered,No
111,473,Curtis,Yang,1962-06-06,Married,Male,curtis5@adventure-works.com,"60000,00",1,0,Grado parcial,Manual calificado,1,4052 Mt. Wilson Way,1 (11) 500 555-0127,2001-11-01,Person,No Company Entered,Yes
112,632,Meredith,Gutierrez,1962-02-23,Married,Female,meredith34@adventure-works.com,"60000,00",1,0,Grado parcial,Manual calificado,1,7610 Northridge Ct.,1 (11) 500 555-0179,2001-11-20,Person,No Company Entered,Yes
113,492,Crystal,Wang,1962-09-09,Married,Female,crystal3@adventure-works.com,"60000,00",1,0,Grado parcial,Manual calificado,1,2773 Kirkwood Dr,1 (11) 500 555-0134,2001-11-25,Person,No Company Entered,Yes
114,531,Micheal,Blanco,1962-02-21,Married,Male,micheal11@adventure-works.com,"70000,00",5,4,Grado,Profesional,2,596 Marfargoa Drive,1 (11) 500 555-0131,2003-08-05,Person,No Company Entered,Yes
115,679,Leslie,Moreno,1962-05-28,Single,Female,leslie7@adventure-works.com,"70000,00",5,4,Grado parcial,Manual calificado,2,7941 Cristobal,1 (11) 500 555-0115,2003-09-19,Person,No Company Entered,Yes
116,554,Alvin,Cai,1962-02-12,Married,Male,alvin20@adventure-works.com,"70000,00",5,4,Grado parcial,Manual calificado,2,7759 Azalea Avenue,1 (11) 500 555-0191,2003-08-14,Person,No Company Entered,Yes
117,558,Clinton,Carlson,1962-10-07,Married,Male,clinton14@adventure-works.com,"70000,00",5,4,Grado parcial,Manual calificado,2,7943 Cunha Ct.,1 (11) 500 555-0184,2003-09-16,Person,No Company Entered,Yes
118,509,April,Deng,1961-02-21,Married,Female,april1@adventure-works.com,"70000,00",5,4,Grado parcial,Manual calificado,3,485 Ash Lane,1 (11) 500 555-0182,2001-11-06,Person,No Company Entered,Yes
119,648,Alvin,Zeng,1957-07-03,Single,Male,alvin21@adventure-works.com,"80000,00",1,0,Grado parcial,Manual calificado,1,3853 Wildcat Circle,1 (11) 500 555-0174,2004-01-11,Person,No Company Entered,No
120,534,Evan,James,1935-04-10,Single,Male,evan8@adventure-works.com,"30000,00",2,0,Grado parcial,Clerical,2,4157 Sierra Ridge,1 (11) 500 555-0187,2003-08-07,Person,No Company Entered,No
121,558,Beth,Jiménez,1936-08-09,Single,Female,beth8@adventure-works.com,"40000,00",2,0,Grado,Administración,1,7401 Las Palmas,1 (11) 500 555-0164,2001-11-14,Person,No Company Entered,Yes
122,518,Orlando,Suarez,1960-11-18,Married,Male,orlando19@adventure-works.com,"70000,00",5,4,Grado parcial,Manual calificado,3,7743 Hames Dr,1 (11) 500 555-0198,2003-12-26,Person,No Company Entered,Yes
123,669,Byron,Vazquez,1960-04-02,Married,Male,byron9@adventure-works.com,"70000,00",5,4,Grado parcial,Manual calificado,3,3187 Hackamore Lane,1 (11) 500 555-0136,2003-08-25,Person,No Company Entered,Yes
124,699,Philip,Alvarez,1960-06-20,Married,Male,philip4@adventure-works.com,"70000,00",5,4,Grado parcial,Manual calificado,3,2775 Mt. Olivet Pl.,1 (11) 500 555-0191,2003-10-19,Person,No Company Entered,Yes
125,568,Ross,Jordan,1957-07-27,Single,Male,ross1@adventure-works.com,"80000,00",1,0,Grado parcial,Manual calificado,1,6973 Dublin Court,1 (11) 500 555-0126,2001-11-05,Person,No Company Entered,Yes
126,692,Dana,Navarro,1956-04-08,Single,Female,dana2@adventure-works.com,"70000,00",1,0,Grado parcial,Manual calificado,1,8481 Zartop Street,1 (11) 500 555-0172,2003-08-04,Person,No Company Entered,Yes
127,519,Shaun,Carson,1949-04-07,Married,Male,shaun16@adventure-works.com,"10000,00",2,1,Bachillerato,Manual calificado,2,57 Wolf Way,1 (11) 500 555-0155,2001-11-28,Person,No Company Entered,No
128,690,Jan,Edwards,1975-10-21,Married,Female,jan11@adventure-works.com,"40000,00",0,0,Bachillerato,Manual calificado,1,9409 The Alameda,111-555-0118,2003-10-12,Person,No Company Entered,Yes
129,678,Samantha,Long,1975-12-05,Married,Female,samantha35@adventure-works.com,"40000,00",0,0,Bachillerato,Manual calificado,1,1606 Alderwood Lane,175-555-0139,2003-12-21,Person,No Company Entered,Yes
